#Date Day Month Year Weekday Weeknum LeapYear
01/01/2003 1 1 2003 4 52 0
01/02/2003 2 1 2003 5 52 0
01/03/2003 3 1 2003 6 52 0
01/04/2003 4 1 2003 7 52 0
01/05/2003 5 1 2003 1 52 0
01/06/2003 6 1 2003 2 1 0
01/07/2003 7 1 2003 3 1 0
01/08/2003 8 1 2003 4 1 0
01/09/2003 9 1 2003 5 1 0
01/10/2003 10 1 2003 6 1 0
01/11/2003 11 1 2003 7 1 0
01/12/2003 12 1 2003 1 1 0
01/13/2003 13 1 2003 2 2 0
01/14/2003 14 1 2003 3 2 0
01/15/2003 15 1 2003 4 2 0
01/16/2003 16 1 2003 5 2 0
01/17/2003 17 1 2003 6 2 0
01/18/2003 18 1 2003 7 2 0
01/19/2003 19 1 2003 1 2 0
01/20/2003 20 1 2003 2 3 0
01/21/2003 21 1 2003 3 3 0
01/22/2003 22 1 2003 4 3 0
01/23/2003 23 1 2003 5 3 0
01/24/2003 24 1 2003 6 3 0
01/25/2003 25 1 2003 7 3 0
01/26/2003 26 1 2003 1 3 0
01/27/2003 27 1 2003 2 4 0
01/28/2003 28 1 2003 3 4 0
01/29/2003 29 1 2003 4 4 0
01/30/2003 30 1 2003 5 4 0
01/31/2003 31 1 2003 6 4 0
02/01/2003 1 2 2003 7 4 0
02/02/2003 2 2 2003 1 4 0
02/03/2003 3 2 2003 2 5 0
02/04/2003 4 2 2003 3 5 0
02/05/2003 5 2 2003 4 5 0
02/06/2003 6 2 2003 5 5 0
02/07/2003 7 2 2003 6 5 0
02/08/2003 8 2 2003 7 5 0
02/09/2003 9 2 2003 1 5 0
02/10/2003 10 2 2003 2 6 0
02/11/2003 11 2 2003 3 6 0
02/12/2003 12 2 2003 4 6 0
02/13/2003 13 2 2003 5 6 0
02/14/2003 14 2 2003 6 6 0
02/15/2003 15 2 2003 7 6 0
02/16/2003 16 2 2003 1 6 0
02/17/2003 17 2 2003 2 7 0
02/18/2003 18 2 2003 3 7 0
02/19/2003 19 2 2003 4 7 0
02/20/2003 20 2 2003 5 7 0
02/21/2003 21 2 2003 6 7 0
02/22/2003 22 2 2003 7 7 0
02/23/2003 23 2 2003 1 7 0
02/24/2003 24 2 2003 2 8 0
02/25/2003 25 2 2003 3 8 0
02/26/2003 26 2 2003 4 8 0
02/27/2003 27 2 2003 5 8 0
02/28/2003 28 2 2003 6 8 0
03/01/2003 1 3 2003 7 8 0
03/02/2003 2 3 2003 1 8 0
03/03/2003 3 3 2003 2 9 0
03/04/2003 4 3 2003 3 9 0
03/05/2003 5 3 2003 4 9 0
03/06/2003 6 3 2003 5 9 0
03/07/2003 7 3 2003 6 9 0
03/08/2003 8 3 2003 7 9 0
03/09/2003 9 3 2003 1 9 0
03/10/2003 10 3 2003 2 10 0
03/11/2003 11 3 2003 3 10 0
03/12/2003 12 3 2003 4 10 0
03/13/2003 13 3 2003 5 10 0
03/14/2003 14 3 2003 6 10 0
03/15/2003 15 3 2003 7 10 0
03/16/2003 16 3 2003 1 10 0
03/17/2003 17 3 2003 2 11 0
03/18/2003 18 3 2003 3 11 0
03/19/2003 19 3 2003 4 11 0
03/20/2003 20 3 2003 5 11 0
03/21/2003 21 3 2003 6 11 0
03/22/2003 22 3 2003 7 11 0
